dataset_name,file_path,sentiment_value,emotional_category,speaker_id,gender,duration,duration_trimmed,split,renamed_file_path
CREMA-D,./dataset/CREMA-D/1022_ITS_ANG_XX.wav,-1,Anger,1022,Male,2.44,2.44,train,./dataset/splitted/train/CREMA-D_1022_ITS_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1037_ITS_ANG_XX.wav,-1,Anger,1037,Female,3.0,3.0,train,./dataset/splitted/train/CREMA-D_1037_ITS_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1060_ITS_NEU_XX.wav,0,Neutrality,1060,Female,2.4,2.4,train,./dataset/splitted/train/CREMA-D_1060_ITS_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1075_ITS_NEU_XX.wav,0,Neutrality,1075,Female,2.44,2.44,train,./dataset/splitted/train/CREMA-D_1075_ITS_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1073_IOM_DIS_XX.wav,-1,Disgust,1073,Female,2.87,2.87,train,./dataset/splitted/train/CREMA-D_1073_IOM_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1066_IOM_DIS_XX.wav,-1,Disgust,1066,Male,2.5,2.5,train,./dataset/splitted/train/CREMA-D_1066_IOM_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1078_IWL_SAD_XX.wav,-1,Sadness,1078,Female,2.44,2.44,train,./dataset/splitted/train/CREMA-D_1078_IWL_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1029_TAI_FEA_XX.wav,-1,Fear,1029,Female,3.67,3.67,train,./dataset/splitted/train/CREMA-D_1029_TAI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1039_IEO_SAD_MD.wav,-1,Sadness,1039,Male,2.2,2.2,train,./dataset/splitted/train/CREMA-D_1039_IEO_SAD_MD_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1008_TAI_HAP_XX.wav,1,Happiness,1008,Female,3.2,3.2,train,./dataset/splitted/train/CREMA-D_1008_TAI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1018_TSI_FEA_XX.wav,-1,Fear,1018,Male,1.67,1.67,train,./dataset/splitted/train/CREMA-D_1018_TSI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1028_IEO_SAD_HI.wav,-1,Sadness,1028,Female,2.67,2.67,train,./dataset/splitted/train/CREMA-D_1028_IEO_SAD_HI_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1039_TSI_HAP_XX.wav,1,Happiness,1039,Male,2.34,2.34,train,./dataset/splitted/train/CREMA-D_1039_TSI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1064_ITS_HAP_XX.wav,1,Happiness,1064,Male,2.87,2.87,train,./dataset/splitted/train/CREMA-D_1064_ITS_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1071_ITS_HAP_XX.wav,1,Happiness,1071,Male,2.28,2.28,train,./dataset/splitted/train/CREMA-D_1071_ITS_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1045_ITS_FEA_XX.wav,-1,Fear,1045,Male,2.6,2.6,train,./dataset/splitted/train/CREMA-D_1045_ITS_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1050_ITS_FEA_XX.wav,-1,Fear,1050,Male,3.24,3.24,test,./dataset/splitted/test/CREMA-D_1050_ITS_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1018_IWL_ANG_XX.wav,-1,Anger,1018,Male,2.14,2.14,train,./dataset/splitted/train/CREMA-D_1018_IWL_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1059_IEO_ANG_MD.wav,-1,Anger,1059,Male,2.34,2.34,train,./dataset/splitted/train/CREMA-D_1059_IEO_ANG_MD_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1054_MTI_DIS_XX.wav,-1,Disgust,1054,Female,2.4,2.4,train,./dataset/splitted/train/CREMA-D_1054_MTI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1041_MTI_DIS_XX.wav,-1,Disgust,1041,Male,2.6,2.6,test,./dataset/splitted/test/CREMA-D_1041_MTI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1048_IEO_ANG_HI.wav,-1,Anger,1048,Male,2.34,2.34,train,./dataset/splitted/train/CREMA-D_1048_IEO_ANG_HI_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1042_ITS_SAD_XX.wav,-1,Sadness,1042,Male,2.4,2.4,train,./dataset/splitted/train/CREMA-D_1042_ITS_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1019_TAI_NEU_XX.wav,0,Neutrality,1019,Male,2.44,2.44,train,./dataset/splitted/train/CREMA-D_1019_TAI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1057_ITS_SAD_XX.wav,-1,Sadness,1057,Male,2.4,2.4,test,./dataset/splitted/test/CREMA-D_1057_ITS_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1028_TSI_NEU_XX.wav,0,Neutrality,1028,Female,2.77,2.77,train,./dataset/splitted/train/CREMA-D_1028_TSI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1087_IOM_ANG_XX.wav,-1,Anger,1087,Male,2.7,2.7,train,./dataset/splitted/train/CREMA-D_1087_IOM_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1039_IEO_HAP_LO.wav,1,Happiness,1039,Male,2.14,2.14,train,./dataset/splitted/train/CREMA-D_1039_IEO_HAP_LO_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1018_IEO_FEA_LO.wav,-1,Fear,1018,Male,1.9,1.9,train,./dataset/splitted/train/CREMA-D_1018_IEO_FEA_LO_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1079_DFA_NEU_XX.wav,0,Neutrality,1079,Female,2.14,2.14,train,./dataset/splitted/train/CREMA-D_1079_DFA_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1063_IWW_DIS_XX.wav,-1,Disgust,1063,Female,2.04,2.04,train,./dataset/splitted/train/CREMA-D_1063_IWW_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1076_IWW_DIS_XX.wav,-1,Disgust,1076,Female,2.87,2.87,train,./dataset/splitted/train/CREMA-D_1076_IWW_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1068_WSI_HAP_XX.wav,1,Happiness,1068,Male,2.27,2.27,train,./dataset/splitted/train/CREMA-D_1068_WSI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1049_WSI_FEA_XX.wav,-1,Fear,1049,Female,2.3,2.3,train,./dataset/splitted/train/CREMA-D_1049_WSI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1059_ITH_DIS_XX.wav,-1,Disgust,1059,Male,2.77,2.77,train,./dataset/splitted/train/CREMA-D_1059_ITH_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1068_DFA_HAP_XX.wav,1,Happiness,1068,Male,2.54,2.54,train,./dataset/splitted/train/CREMA-D_1068_DFA_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1049_DFA_FEA_XX.wav,-1,Fear,1049,Female,2.47,2.47,train,./dataset/splitted/train/CREMA-D_1049_DFA_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1079_WSI_NEU_XX.wav,0,Neutrality,1079,Female,2.77,2.77,train,./dataset/splitted/train/CREMA-D_1079_WSI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1082_IWW_ANG_XX.wav,-1,Anger,1082,Female,2.14,2.14,train,./dataset/splitted/train/CREMA-D_1082_IWW_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1061_ITH_NEU_XX.wav,0,Neutrality,1061,Female,3.07,3.07,train,./dataset/splitted/train/CREMA-D_1061_ITH_NEU_XX_Neutrality_0.wav
